Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
"Клюква (дикая) 300г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;300,71;;
"Лечо 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;109,48;;
"Малина 300г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;191,70;;
"Овощи ""Гювеч"" 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;113,33;;
"Овощи весенние 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;101,93;;
"Овощи для жарки с шампиньонами 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;116,18;;
"Овощи летние 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;110,82;;
"Овощи по-деревенски 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;109,14;;
"Овощное рагу 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;100,42;;
"Паприкаш  400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;106,80;;
"Смесь ""Гавайская""400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;114,17;;
"Смесь ""Итальянская"" с макаронами 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ,ПМ,ТМ-5)";;;;;;;;;;;;119,20;;
"Смесь ""Мексиканская""400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;114,17;;
"Фасоль стручковая резаная 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;99,08;;
"Цветная капуста 400г/20шт ""4 сезона"" (ЕК,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;120,88;;
"Шампиньоны нарезанные 400г/20шт ""4 сезона"" (ЕК-1,НТ,СРГ-5; ПМ,ТМ-2)";;;;;;;;;;;;105,79;;
"Шпинат листовой  400г/20шт ""4 сезона"" (ЕК,СРГ-5)";;;;;;;;;;;;156,10;;
Весовые овощи;;;;;;;;;;;;;;
**Абрикос половинки ВЕС 10кг Киргизия;;;;;;;;;;;;;227,00;
**Грибы белые резаные кубик 9 кг Россия ;;;;;;;;;;;;;725,00;
**Грибы белые целые Экстра 10 кг/кор Россия ;;;;;;;;;;;;;1 295,00;
**Овощи весенние (цветная капуста,морковь,перец,цукини,горох) ВЕС 10кг Россия ;;;;;;;;;;;;;142,00;
"**Смесь с баклажанами и кабачками ""Соте"" Вес 10кг Россия";;;;;;;;;;;;;194,00;
**Фасоль Романо (Лоби) ВЕС 10кг Россия;;;;;;;;;;;;;228,00;
Брокколи ВЕС 10 кг Китай;;;;;;;;;;;;;217,00;
Брокколи ВЕС 7,5 кг (ЦЕНА ЗА КОРОБКУ) Россия;;;;;;;;;;;;;1 305,00;
Брокколи ВЕС 9кг Узбекистан;;;;;;;;;;;;;197,00;
Брусника ВЕС 10 кг Россия;;;;;;;;;;;;;470,00;
Брюссельская капуста ВЕС 10кг Китай (РБ);;;;;;;;;;;;;282,00;
Вишня б/к ВЕС 10кг Узбекистан Нов;;;;;;;;;;;;;482,00;
Гавайская смесь ВЕС 10кг Россия ;;;;;;;;;;;;;167,00;
Ежевика ВЕС 10кг Китай;;;;;;;;;;;;;359,00;
Зеленый горошек ВЕС 15кг Россия;;;;;;;;;;;;;182,00;
Клубника класс А (1 класс) ВЕС 10кг  Египет;;;;;;;;;;;;;265,00;
Клюква ВЕС 10кг (садовая крупноплодная)  Китай;;;;;;;;;;;;;427,00;
Клюква ВЕС 10кг (садовая крупноплодная) Россия;;;;;;;;;;;;;402,00;
Компотная смесь Оптимальная (алыча, виноград, яблоко, абрикос полов) ВЕС 10 кг Россия;;;;;;;;;;;;;179,00;
Компотная/Ягодная смесь (вишня бк, клубника, крыжов.,слива половинки) ВЕС 10 кг Россия;;;;;;;;;;;;;290,00;
Красная смородина ВЕС 10кг Китай;;;;;;;;;;;;;285,00;
Кукуруза в початках ВЕС 9кг Россия;;;;;;;;;;;;;182,00;
Лечо ВЕС 10кг Россия;;;;;;;;;;;;;141,00;
Малина ВЕС 10кг Беларусь;;;;;;;;;;;;;477,00;
Манго ломтики  ВЕС 10кг Египет;;;;;;;;;;;;;297,00;
Мексиканская смесь (перец, фасоль, морковь, кукуруза, горошек, лук) ВЕС 10кг Россия;;;;;;;;;;;;;162,00;
Облепиха ВЕС 10кг Китай;;;;;;;;;;;;;297,00;
Перец Микс соломка 8 кг Россия;;;;;;;;;;;;;181,00;
Смесь Ягодная Фруктовая (яблоко,слива ск, абрикос ск, лимон. кожура) ВЕС 10 кг Россия;;;;;;;;;;;;;190,00;
Фасоль стручковая резаная ВЕС 10кг Египет;;;;;;;;;;;;;159,00;
Фасоль стручковая резаная ВЕС 10кг Египет Нов;;;;;;;;;;;;;154,00;
Цветная  капуста ВЕС 10кг Узбекистан;;;;;;;;;;;;;202,00;
Цветная капуста ВЕС 10кг Египет;;;;;;;;;;;;;197,00;
Цветная капуста ВЕС 10кг Китай;;;;;;;;;;;;;217,00;
Черная смородина ВЕС 10кг Китай;;;;;;;;;;;;;555,00;
Черная смородина ВЕС 12кг Россия;;;;;;;;;;;;;525,00;
Черника ВЕС 10кг Россия;;;;;;;;;;;;;485,00;
Шампиньоны резаные ВЕС 10кг Беларусь;;;;;;;;;;;;;218,00;
Шпинат резаный ВЕС 10кг Китай;;;;;;;;;;;;;249,00;
Планета Витаминов;;;;;;;;;;;;;;
**Спаржа зеленая 250г/20шт Планета Витаминов (ЕК,НТ,ПМ-5);;;;;;;;;;;;203,32;;
"Ананасы кусочки 300г/20шт Планета Витаминов (ЕК-1,НТ,СРГ-5; ПМ-2; ТМ-4)";;;;;;;;;;;;152,39;;
"Брусника 250г/20шт Планета Витаминов (ЕК,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;152,20;;
"Клубника 300г/20шт Планета Витаминов (ЕК-2; НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;98,89;;
"Манго кубиками 300г/20шт Планета Витаминов (ЕК-2,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;155,60;;
"Облепиха 250г/20шт Планета Витаминов (ЕК,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;104,27;;
"Черешня б/к 250г/20шт Планета Витаминов (ЕК,НТ,СРГ,ТМ-5; ПМ-2)";;;;;;;;;;;;136,80;;
Замороженные п/ф;;;;;;;;;;;;;;
CТМ п/ф;;;;;;;;;;;;;;
Блины с варёной сгущёнкой ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;313,86;;
Блины с ветчиной и сыром ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;387,11;;
Блины с вишнёвым джемом ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;358,55;;
Блины с курицей и грибами (жульен) 350г/4шт ТМ Хозяин Барин ИП Тарасова;;;;;;;;;;;;140,12;;
Блины с курицей и грибами (жульен) ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;336,81;;
Блины с мясом 350г/4шт ТМ Хозяин Барин ИП Тарасова;;;;;;;;;;;;132,43;;
Блины с мясом и рисом ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;296,84;;
Блины с мясом ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;327,54;;
Блины с печенью куриной ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;311,81;;
Блины с творогом ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;309,76;;
Ёжики ТМ Хозяин Барин вес 4кг ИП Тарасова;;;;;;;;;;;;360,41;;
Перец фаршированный ТМ Хозяин Барин вес 5кг ИП Тарасова;;;;;;;;;;;;348,22;;
ГлавСуп/ФУП;;;;;;;;;;;;;;
Бигус (капуста тушеная) со свининой 300гр/8шт ГлавСуп (ЕК,НТ,СРГ-4);;;;;;;;;;;;226,92;;
"Гуляш из говядины с лапшой 300гр/8шт ГлавСуп (ЕК,НТ,СРГ-4; ПМ,ТМН-2)";;;;;;;;;;;;259,14;;
"Котлета с картофельным пюре 300гр/8шт ГлавОбед (ЕК,НТ,СРГ-4; ПМ,ТМН-2)";;;;;;;;;;;;186,60;;
"Лапша по-китайски с курицей 300г/8шт ГлавСуп (ЕК,НТ,СРГ-4; ПМ,ТМН-2)";;;;;;;;;;;;224,27;;
Макароны по-флотски 300гр/8шт ГлавСуп (ЕК,НТ,СРГ-4);;;;;;;;;;;;208,52;;
"Паста с мясным фаршем в соусе болоньез 300г/8шт ГлавСуп (ЕК,НТ,СРГ-4; ПМ-2)";;;;;;;;;;;;170,48;;
"Плов с курицей 300гр/8шт ГлавОбед (ЕК,НТ,СРГ-4; ПМ,ТМН-2)";;;;;;;;;;;;227,64;;
"Поджарка из свинины с рисом 300гр/8шт ГлавОбед (ЕК,НТ,СРГ-4; ТМН-2)";;;;;;;;;;;;237,21;;
"Суп Борщ оригинальный с говядиной 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;132,47;;
"Суп Борщ с курицей 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;110,63;;
"Суп Гороховый с копченостями 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;106,50;;
Суп Грибной сливочный 250г/8шт ТМ Быстро и Вкусно (ЕК,НТ,СРГ,ПМ-2);;;;;;;;;;;;104,50;;
Суп Лагман по-уйгурски 250г/8шт ТМ Быстро и Вкусно (ЕК,НТ,СРГ,ПМ-2);;;;;;;;;;;;97,80;;
"Суп Лагман с говядиной 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;163,83;;
"Суп Рассольник с курицей 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;106,50;;
"Суп Солянка по-домашнему 250гр/12шт ГлавСуп (ЕК,НТ,СРГ,ТМ-4; ПМ-2)";;;;;;;;;;;;115,65;;
Суп ТОМ ЯМ грибы, креветки, курица 360гр/6шт ГлавСуп (ЕК,СРГ,НТ,ПМ,ТМ-3);;;;;;;;;;;;291,06;;
"Суп Харчо с курицей 250гр/12шт ГлавСуп (ЕК,СРГ,НТ,ТМ-4; ПМ-2)";;;;;;;;;;;;106,50;;
"Суп Щи по-деревенски 250гр/12шт ГлавСуп (ЕК,НТ,СРГ-4; ПМ-2)";;;;;;;;;;;;106,59;;
"Суп-лапша с курицей 250гр/12шт ГлавСуп (ЕК,НТ,СРГ-4; ПМ-2)";;;;;;;;;;;;114,92;;
Горячая штучка ;;;;;;;;;;;;;;
Бельмеши 300г/12шт ТМ Горячая штучка (НТ,СРГ-шт);;;;;;;;;;;;137,49;;
Круггетсы с сырным соусом 250г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;136,79;;
Нагетосы Сочная курочка в хрустящей панировке 0,25кг/6шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;118,04;;
Хот-догстер с сыром 90г/30шт ТМ Горячая штучка ;;;;;;;;;;;;65,23;;
Хотстеры 250г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;144,75;;
Хрустящие крылышки 300г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ТМ-шт);;;;;;;;;;;;182,51;;
Чебупели с ветчиной и сыром 300г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;129,45;;
Чебупели сочные с мясом 300г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;120,45;;
Чебупицца Курочка по-итальянски 250г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;140,01;;
Чебупицца пепперони 250г/12шт ТМ Горячая штучка (ЕК,НТ,СРГ,ПМ,ТМ-шт);;;;;;;;;;;;140,01;;
Чебуреки с мясом 90г/24шт ТМ Горячая штучка ;;;;;;;;;;;;31,14;;
Горячая штучка ВЕС;;;;;;;;;;;;;;
Жар-ладушки пирожки с мясом ВЕС 3,7 кг ТМ Горячая Штучка;;;;;;;;;;;;1 054,59;;
Жар-ладушки пирожки с мясом, картофелем и грибами ВЕС 3,7 кг ТМ Горячая Штучка;;;;;;;;;;;;1 010,62;;
Жар-ладушки пирожки с яблоком и грушей ВЕС 3,7 кг ТМ Горячая Штучка;;;;;;;;;;;;945,97;;
Мини-чебуреки (Жар-мени) с мясом ВЕС 5,5кг ТМ Горячая Штучка;;;;;;;;;;;;1 410,80;;
Мини-шарики с курочкой и сыром ВЕС 3 кг ТМ Горячая Штучка;;;;;;;;;;;;278,03;;
Наггетсы Хрустящие из мяса птицы в панировке ВЕС 6 кг ТМ Горячая Штучка;;;;;;;;;;;;325,38;;
Фрайпики мини-сосиски в тесте ВЕС 3,7кг ТМ Горячая Штучка;;;;;;;;;;;;1 221,57;;
Чебуреки с мясом ВЕС 2,7кг (90 г) ТМ Горячая Штучка;;;;;;;;;;;;788,04;;
Чебуреки Сочные куриные жареные ВЕС 5кг ТМ Горячая Штучка;;;;;;;;;;;;269,03;;
Звездный/Хлебный дом;;;;;;;;;;;;;;
Тесто слоеное бездрож. 1кг/8шт ТМ Хлебный дом (СРГ-4);;;;;;;;;;;;193,29;;
Тесто слоеное бездрож. 500г/16шт ТМ Хлебный дом (ЕК,СРГ,ТМ-4);;;;;;;;;;;;102,90;;
Тесто слоеное дрожжевое 500г/16шт ТМ Хлебный дом (ЕК,СРГ,ТМ-4);;;;;;;;;;;;102,90;;
Котлеты;;;;;;;;;;;;;;
**Куриный поп корн готовый ВЕС 6кг Россия;;;;;;;;;;;;583,60;;
"**Фарш Говяжий в/у МПЗ ""Ромашкино"" 1кг/8шт (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;403,20;;
"**Фарш Домашний в/у МПЗ ""Ромашкино"" 1кг/8шт (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;384,00;;
"Голубцы фаршированные мясом и рисом ""От Вадимыча"" ВЕС 5кг ИП Власов";;;;;;;;;;;;189,15;;
"Ежики с рисом ""От Вадимыча"" ВЕС 5кг ИП Власов";;;;;;;;;;;;175,50;;
"Котлеты ""Для перекуса"" (обжар.) ВЕС 6кг Приосколье (Новые)";;;;;;;;;;;;258,00;;
"Котлеты ""От Вадимыча-Нямки"" ВЕС 5кг ИП Власов";;;;;;;;;;;;175,50;;
Котлеты Домашние ВЕС 5кг ТМ Сальников;;;;;;;;;;;;286,06;;
Котлеты из мяса цыпленка в панировке ВЕС 6кг Домашняя сказка;;;;;;;;;;;;239,50;;
Котлеты лососевые ВЕС 5кг ТМ СКОРОЖАРКА;;;;;;;;;;;;300,00;;
Люля-кебаб ВЕС 5кг Сальников;;;;;;;;;;;;297,85;;
МАГнаггетсы готовые ВЕС 6кг Домашняя сказка;;;;;;;;;;;;423,00;;
Наггетсы из мяса цыпленка в панировке ВЕС 6кг Домашняя сказка;;;;;;;;;;;;263,00;;
Ножка цыпленка в панировке п/ф рубленный ВЕС 6кг Домашняя сказка;;;;;;;;;;;;240,00;;
Окорочок цыпленка в панировке п/ф рубленный ВЕС 5кг Домашняя сказка;;;;;;;;;;;;240,00;;
Палочки из мяса цыпленка в панировке ВЕС 6кг Домашняя сказка;;;;;;;;;;;;239,50;;
Сырники творожные готовые 240г/8шт ТМ Быстро и Вкусно (ЕК,НТ,СРГ,ПМ-2);;;;;;;;;;;;115,47;;
Чебуреки жареные с мясом (90 г) ВЕС 4кг ТМ Быстро и Вкусно;;;;;;;;;;;;305,80;;
"Чебуреки с мясом ""VEZDEHOT"" 100 гр/30шт ТМ Сальников";;;;;;;;;;;;44,58;;
Чебурешки сочные с мясом ВЕС 3кг ТМ Быстро и Вкусно;;;;;;;;;;;;302,80;;
Шикартосы пирожки с картофелем и грибами 280г/8шт ТМ Быстро и Вкусно (ЕК,НТ,СРГ,ПМ-2);;;;;;;;;;;;94,66;;
Масло сливочное;;;;;;;;;;;;;;
Масло Крестьянское сладко-слив. несоленое 72,5% 180г/50шт ТМ Молочная Благодать (ЕК,НТ,СРГ,ПМ,ТМ-3);;;;;;;;;;;;185,60;;
Масло сливочное крестьянское 72,5% 170г/12шт ТМ Коровка из Кореновки (ЕК,НТ,СРГ,ПМ,ТМ-6);;;;;;;;;;;;213,94;;
Сибирский Гурман;;;;;;;;;;;;;;
Блинчики Солнцепек без начинки 360г/12шт Сибирский Гурман (ЕК,НТ,ПМ-5);;;;;;;;;;;;92,37;;
Оладьи Солнцепек 275г/10шт Сибирский Гурман;;;;;;;;;;;;94,46;;
Сырники Солнцепек по-домашнему 330г/10шт Сибирский Гурман (НТ,ТМ-5);;;;;;;;;;;;256,38;;
Тесто слоеное дрожжевое (квадрат) 500гр/7шт Едим Дома (ЕК,НТ,СРГ,ПМ,ТМ-3);;;;;;;;;;;;108,35;;
Тесто слоеное пресное (квадрат) 500гр/7шт Едим Дома (ЕК,НТ,СРГ,ПМ,ТМ-3);;;;;;;;;;;;108,35;;
Сибирский Гурман Выпечка ;;;;;;;;;;;;;;
Конверт с ветчиной и сыром 100г/32шт Сибирский Гурман ;;;;;;;;;;;;30,49;;
Пирожок с творожной начинкой и лимоном 90г/32шт Сибирский Гурман;;;;;;;;;;;;22,07;;
Самса с говядиной 100г/32шт Сибирский Гурман;;;;;;;;;;;;35,26;;
Самса с курицей 110г/32шт Сибирский Гурман ;;;;;;;;;;;;26,65;;
Слойка с абрикосом 85г/32шт Сибирский Гурман ;;;;;;;;;;;;26,98;;
Слойка с вишней 90г/32шт Сибирский Гурман ;;;;;;;;;;;;27,55;;
Слойка с малиной 90г/32шт Сибирский Гурман ;;;;;;;;;;;;25,57;;
Слойка с яблоком 90г/32шт Сибирский Гурман ;;;;;;;;;;;;26,33;;
Союзпищепром;;;;;;;;;;;;;;
**Слойка Венская с грушей 80гр/45 шт Союзпищепром;;;;;;;;;;;;22,30;;
**Слойка с маком 100гр/30 шт Союзпищепром;;;;;;;;;;;;25,81;;
**Сочень творожный 90гр/45 шт Союзпищепром;;;;;;;;;;;;28,61;;
Тесто слоеное бездрожжевое  пласт. ВЕС 5кг Союзпищепром;;;;;;;;;;;;183,82;;
"Тесто слоеное бездрожжевое 400гр/12шт пласт. ТМ ""Затейница"" (ЕК,НТ-6; ПМ-3; ТМ-4)";;;;;;;;;;;;70,14;;
Тесто слоеное дрожжевое  пласт. ВЕС 5кг Союзпищепром;;;;;;;;;;;;183,82;;
"Тесто слоеное дрожжевое 400гр/12шт пласт. ТМ ""Затейница"" (ЕК,НТ-6; ПМ-3; ТМ-4)";;;;;;;;;;;;76,21;;
Морепродукты;;;;;;;;;;;;;;
Крабовое мясо, палочки;;;;;;;;;;;;;;
"Крабовые палочки ""Atlantida"" 190г/30шт (ЕК,НТ-3; СРГ,ПМ,ТМ-10)";;;;;;;;;;;;54,91;;
Мороженое;;;;;;;;;;;;;;
CТМ мороженое ;;;;;;;;;;;;;;
"В/С ""Бабалу"" ванильный (змж) 8% 60г/24шт ИП Тарасова";;;;;;;;;;;;26,24;;
"В/С ""Бабалу"" десерт баббл гам (змж) 60г/24шт ИП Тарасова";;;;;;;;;;;;31,86;;
"В/С ""Бабалу"" десерт манго (змж) 60г/24шт ИП Тарасова";;;;;;;;;;;;31,86;;
"В/С ""Бабалу"" с шок. крошкой (змж) 8% 60г/24шт ИП Тарасова";;;;;;;;;;;;29,03;;
"В/С ""Бабалу"" шоколадный (змж) 8% 60г/24шт ИП Тарасова";;;;;;;;;;;;28,75;;
"В/С ""Снеговик"" десерт ванильный (змж) 4% 60г/24шт ИП Тарасова";;;;;;;;;;;;20,14;;
"В/С ""Уралец"" ГОСТ 8% сливочное ванильное 70г/24шт ИП Тарасова";;;;;;;;;;;;41,32;;
"В/С ""Уралец"" ГОСТ 8% сливочное крем-брюле 70г/24шт Тарасова";;;;;;;;;;;;44,62;;
"В/С ""Уралец"" ГОСТ 8% сливочное с солёной карамелью 85г/24шт Тарасова";;;;;;;;;;;;49,13;;
"В/С ""Уралец"" ГОСТ 8% сливочное с черничным джемом 85г/24шт Тарасова";;;;;;;;;;;;49,13;;
"В/С ""Уралец"" ГОСТ 8% сливочное шоколадное 70г/24шт ИП Тарасова";;;;;;;;;;;;45,32;;
"В/С ""Уралец"" пломбир ГОСТ 12% 70г/24шт Тарасова";;;;;;;;;;;;44,99;;
"Весовое ""Бабалу"" ванильное (змж) 12% 400г/5шт ИП Тарасова ";;;;;;;;;;;;175,19;;
"Весовое ""Бабалу"" ванильное (змж) 12% 800г/5шт ИП Тарасова ";;;;;;;;;;;;344,58;;
"Весовое ""Бабалу"" конфитюр клубника (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Бабалу"" конфитюр малина (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Бабалу"" солёная карамель (змж) 12% 400г/5шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-2)";;;;;;;;;;;;158,27;;
"Весовое ""Уралец"" пломбир 12% ГОСТ 800г/5шт Тарасова";;;;;;;;;;;;451,48;;
"Пл/ст ""Бабалу"" ван. с вареной сгущенкой (змж) 10% 80г/24шт ИП Тарасова";;;;;;;;;;;;44,37;;
"Эскимо ""Бабалу"" ванильное в шоколадной глазури (змж) 8% 60г/40шт ИП Тарасова";;;;;;;;;;;;34,60;;
"Эскимо ""Ириска тоффи"" сливочное 8% в шок. глазури 65г/20шт МирХолода";;;;;;;;;;;;52,50;;
"Эскимо ""Уралец"" ГОСТ пломбир 12% 70г/20шт Тарасова ";;;;;;;;;;;;46,98;;
"Эскимо ""Эскиму"" печенье и карамель пломбир в молочном шоколаде 12% 74г/20шт МирХолода";;;;;;;;;;;;73,00;;
"Эскимо ""Эскиму"" солёный арахис и карамель сливочное в мол. шоколаде 8% 65г/20шт МирХолода";;;;;;;;;;;;73,00;;
Эскимо печенье и карамель пломбир в молочном шоколаде 12% 74г/20шт МирХолода;;;;;;;;;;;;73,00;;
Эскимо солёный арахис и карамель сливочное 8% в мол. шоколаде 65г/20шт МирХолода;;;;;;;;;;;;73,00;;
Гастроемкости;;;;;;;;;;;;;;
"**Контейнер ""Ванильное"" (змж) 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;768,08;;
"**Контейнер ""Клубника"" (змж) 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;768,08;;
"**Контейнер ""Пломбир 12%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;1 051,93;;
"**Контейнер ""Шоколад"" (змж) 12% 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;803,39;;
"*Контейнер ""Леденцы и Бабл-Гам"" (змж) 8%"" 2,5кг/2шт ИП Тарасова (ЕК,НТ,СРГ,ПМ,ТМ-шт)";;;;;;;;;;;;600,00;;
"Весовое ""Бабалу"" ванильное (змж) 12% 2000г/4шт ИП Тарасова";;;;;;;;;;;;457,92;;
Гроспирон;;;;;;;;;;;;;;
Брикет/вафля Пломбир на сливках 90г/32шт Гроспирон;;;;;;;;;;;;69,66;;
"Бум/ст ""Кедровый пломбир"" 70г/24шт Гроспирон";;;;;;;;;;;;64,45;;
Бум/ст Пломбир на сливках 80г/24шт Гроспирон;;;;;;;;;;;;61,29;;
"Ведро ""Кедровый пломбир"" 410г/6шт Гроспирон (ЕК,НТ,ПМ,ТМ-2)";;;;;;;;;;;;364,35;;
"Ведро Пломбир на сливках 430г/6шт Гроспирон (ЕК,НТ,СРГ-2; ПМ,ТМ-шт)";;;;;;;;;;;;318,81;;
Рожок Пломбир на сливках 110г/21шт Гроспирон;;;;;;;;;;;;83,70;;
Колибри;;;;;;;;;;;;;;
"В/С ""ПЛОСКИЙ СТАКАН"" ""Настоящий пломбир"" 90г/30шт Колибри";;;;;;;;;;;;56,06;;
"В/С ""Снежный шарик"" фисташковое (змж) 90г/30шт Колибри";;;;;;;;;;;;41,76;;
Контейнер МИКС ICE PARTY (змж) 450гр/4шт Колибри ;;;;;;;;;;;;235,20;;
Рожок банан-клубника (змж) 90г/20шт Колибри;;;;;;;;;;;;44,18;;
Рожок в шоколадной глазури (змж) 100г/20шт Колибри;;;;;;;;;;;;44,75;;
Эскимо Фисташковое в белой глазури с орехами (змж) 70г20шт Колибри;;;;;;;;;;;;40,62;;
Коровка из Кореновки;;;;;;;;;;;;;;
В/С пломбир 100г/30шт КизК;;;;;;;;;;;;75,07;;
В/С пломбир крем-брюле 100г/30шт КизК;;;;;;;;;;;;75,07;;
В/С пломбир с шок.крошкой 80г/30шт КизК;;;;;;;;;;;;79,34;;
В/С пломбир шоколад 100г/30шт КизК;;;;;;;;;;;;77,19;;
Весовое пломбир 1000г/5шт КизК ;;;;;;;;;;;;623,79;;
Весовое пломбир 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир крем-брюле 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир сердечное манго и маракуйя 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;277,89;;
Весовое пломбир сердечное шоколад и ваниль 400г/8шт (полено) КизК (ЕК,НТ,СРГ,ПМ,ТМ-2);;;;;;;;;;;;270,66;;
Весовое пломбир сердечное шоколад и вишня 200г/8шт (полено) КизК ;;;;;;;;;;;;160,41;;
Рожок пломбир с клубничным джемом 120г/12шт КизК;;;;;;;;;;;;113,00;;
Рожок пломбир с шоколадной крошкой 120г/12шт КизК;;;;;;;;;;;;113,00;;
"Трубочка ""Кубанская Лакомка"" пломбир в шок.- сливочн. глазури 90г/20шт КизК";;;;;;;;;;;;87,52;;
Эскимо круглое пломбир в шок.-слив. глазури 70г/28шт КизК;;;;;;;;;;;;51,23;;
Эскимо пломбир в мол.- шок. глазури с фундуком 70г/20шт КизК;;;;;;;;;;;;92,79;;
Эскимо пломбир в шок.глазури 70г/20шт КизК;;;;;;;;;;;;81,39;;
Эскимо пломбир шоколадный в шок.глазури с какао-крупкой 70г/20шт КизК;;;;;;;;;;;;81,39;;
РосФрост;;;;;;;;;;;;;;
