Прайс-лист на 7 февраля 2025 г.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Номенклатура;;;;;;;;;;;;ХРК;ХРК ЕК;
;;;;;;;;;;;;руб;руб;
;;;;;;;;;;;;Включает НДС;Включает НДС;
;;;;;;;;;;;;Цена;Цена;
Продукция;;;;;;;;;;;;;;
HoReCa минус;;;;;;;;;;;;;;
Морской коктейль (кальм, мидии, осьм, крев. очищ) 1кг/10шт (шт);;;;;;;;;;;;381,60;;
Морской коктейль (кальм, мидии, осьм, крев. очищ) Seaprima 1кг/10шт (шт);;;;;;;;;;;;345,60;;
Осьминоги 1-2кг с/м Индонезия (кг);;;;;;;;;;;;1 245,60;;
Филе кальмара Командорского фас.1 кг (кг);;;;;;;;;;;;822,60;;
Филе кальмара очищ. U10 1кг/8шт Россия (шт);;;;;;;;;;;;693,60;;
Черн. тигр. креветки б/г в/п с/м (16/20) 1кг/10шт Эквадор (шт);;;;;;;;;;;;837,60;;
Черн. тигр. креветки б/г с/м 16/20 Risma 1кг/10шт (шт) Индия;;;;;;;;;;;;1 473,60;;
1.7 Рыба;;;;;;;;;;;;;;
**Палтус тушка с/м б/г (~2-3 кг.) (1 место~25кг) (кг);;;;;;;;;;;;2 124,00;;
**Чилийский Сибас (клыкач) с/м 6-8 Аргентина (кг);;;;;;;;;;;;6 622,80;;
Бранзина (Сибас) 300/400 с/м ВЕС ~5кг Турция (кг);;;;;;;;;;;;891,10;;
Дорадо 300/400 н/р с/м ВЕС ~5кг Турция (кг);;;;;;;;;;;;1 038,06;;
Лосось 5-6 кг с/м Премиум Чили (кг);;;;;;;;;;;;1 674,00;;
Лосось 6-7 кг ВЕС премиум (место~30кг) с/м Чили (кг);;;;;;;;;;;;1 728,00;;
Лосось филе (семга) слабосоленый синяя упаковка в/у Россия (кг);;;;;;;;;;;;2 526,00;;
Лосось филе с/м Трим D 1,3-1,8 кг Yadran в/у, Чили (кг);;;;;;;;;;;;2 353,08;;
Лосось филе с/с н/к в/у Трим А 2,1-2,9кг вес ~12кг Маринист (кг);;;;;;;;;;;;2 475,60;;
Лосось филе Трим D с/м 1,8-2,3 кг Yadran Чили (кг);;;;;;;;;;;;2 413,68;;
Лосось филе х/к в/у Трим А 1,2+кг Россия Фуд Тим (кг);;;;;;;;;;;;2 169,60;;
Масляная рыба филе подкоп 1,7-1,9кг Salmon House, в/у (кг) ;;;;;;;;;;;;1 341,60;;
Масляная рыба филе подкопч 1,6-2,5кг (3-6) Маринист в/у Россия (кг);;;;;;;;;;;;1 209,60;;
Масляная рыба филе с/м 3-6 Россия (кг);;;;;;;;;;;;1 118,65;;
Тилапия филе с/м 3-5 10 кг Китай (кор);;;;;;;;;;;;800,40;;
Форель б/г, с/м потр. 1,8-2,7 вес. ~26кг Турция (кг);;;;;;;;;;;;1 310,40;;
